ID,Input,Output
1,"The Labrador Retriever, or simply Labrador, is a British breed of retriever gun dog. It was ~_~bred in the United Kingdom from fishing dogs imported from the colony of Newfoundland (now a province of Canada), and was named after the Labrador region of that colony. It is among the most commonly kept dogs in several countries, particularly in the European world. The Labrador is friendly, energetic, and playful. It was bred as a sporting and hunting dog but is widely kept as a companion dog. It may also be trained as a guide or assistance dog, or for rescue or therapy work.",developed
2,"An angel is a ~_~celestial being in various traditions and mythologies. Abrahamic ~_~traditions describe angels as ~_~guiding celestial beings who act as intermediaries between God (or Heaven) and humanity. Other roles of angels include protecting and guiding human beings, and carrying out God's tasks. Within these ~_~traditions, angels are often depicted as having the human form of extraordinary beauty; they are often identified with symbols such as bird wings, halos, and light.","supernatural,religions,benevolent,religions"
3,"Attachment theory is a psychological, evolutionary, and ethological theory concerning relationships between humans. The most important tenet is that young children need to develop a relationship with at least one primary caregiver for normal social and ~_~psychological development. The theory was formulated by psychiatrist and psychoanalyst John Bowlby. Within attachment theory, infant behaviour associated with attachment is primarily the seeking of proximity to an attachment figure in stressful situations. Infants become attached to adults who are sensitive and responsive in social ~_~relationships with them, and who remain as consistent caregivers for some months during the period from about six months to two years of age. During the latter part of this period, children begin to use attachment figures (familiar people) as a secure base to explore from and return to. Parental responses lead to the development of patterns of attachment; these, in turn, lead to internal working models that will guide the individual's feelings, thoughts, and expectations in later relationships. Separation anxiety or grief following the loss of an attachment figure is considered to be a normal and adaptive response for an attached infant. These behaviours may have evolved because they increase the probability of survival for the child.","emotional,interactions"
4,"The Gulag was the government ~_~administration in charge of the Soviet network of forced labor camps which were set up by order of Vladimir Lenin, reaching its peak during Joseph Stalin's rule from the 1930s to the early 1950s. English-language speakers also use the word gulag to refer to each of the forced-labor camps that existed in the Soviet Union, including the camps that existed in the post-Lenin era. The full official name of the administration changed several times. The Gulag is recognized as a major instrument of political repression in the Soviet Union. The camps housed a wide range of ~_~prisoners, from petty criminals to political prisoners, a large number of whom were convicted by simplified procedures, such as NKVD troikas or other instruments of extrajudicial punishment. In 1918–1922, the administration was administered by the Cheka, followed by the GPU (1922–1923), the OGPU (1923–1934), later known as the NKVD (1934–1946), and the Ministry of Internal Affairs (MVD) in the final years. The Solovki prison camp, the first correctional labor camp which was constructed after the revolution, was opened in 1918 and legalized by a decree, 'On the creation of the forced-labor camps', on April 15, 1919. The internment system grew rapidly, reaching a population of 100,000 in the 1920s. By the end of 1940, the population of the Gulag camps amounted to 1.5 million. The emergent consensus among scholars is that, of the 14 million prisoners who passed through the Gulag camps and the 4 million ~_~prisoners who passed through the Gulag camps from 1930 to 1953, roughly 1.5 to 1.7 million prisoners perished there or they died soon after they were released. Some journalists and writers who question the reliability of such data heavily rely on memoir sources that come to higher estimations. Archival researchers have found 'no plan of destruction' of the gulag population and no statement of official intent to kill them, and prisoner releases vastly exceeded the number of deaths in the Gulag. This policy can partially be attributed to the common practice of releasing prisoners who were suffering from incurable diseases as well as prisoners who were near death. Almost immediately after the death of Stalin, the Soviet establishment started to dismantle the Gulag system. A mass general amnesty was granted in the immediate aftermath of Stalin's death, but it was only offered to non-political prisoners and political prisoners who had been sentenced to a maximum of five years in prison. Shortly thereafter, Nikita Khrushchev was elected First Secretary, initiating the processes of de-Stalinization and the Khrushchev Thaw, triggering a mass release and rehabilitation of political prisoners. Six years later, on 25 January 1960, the Gulag system was officially abolished when the remains of its administration were dissolved by Khrushchev. The legal practice of sentencing ~_~prisoners to penal labor continues to exist in the Russian Federation, but its capacity is greatly reduced.","agency,convicts,convicts,convicts"
5,"TreeHugger is a sustainability website that reports on news, and other subjects like eco-friendly design, homes, and gardens. It was rated the top sustainability blog of 2007 by Nielsen Netratings, and was included in Time Magazine's 2009 blog index as one of the top twenty-five blogs. The website ~_~reports 'over 100 expert writers.' All submissions are reviewed by the website's staff for accuracy and compliance with their editorial guidelines. [clarification needed] TreeHugger was acquired by Discovery Communications on August 1, 2020, for $10 million. In 2012, Mother Nature Network, created by Joel Babbit and Chuck Leavell (now Narrative Content Group) ~_~acquired TreeHugger. In 2020, Dotdash acquired TreeHugger and Mother Nature Network.","boasts,bought"
6,"Mr. Clean (or Mr. Proper) is a brand name and mascot, owned by the American company Procter & Gamble. The all-purpose cleaner was originally formulated by Linwood Burton, a marine ship cleaning businessman with accounts throughout the east coast of the United States and his friend, Mathusan Chandramohan, a rich entrepreneur from Sri Lanka. In 1957, Harry Barnhart ~_~formulated the idea. Mr. Clean made his television commercial debut in 1958, initially portrayed in the United States by character actor House Peters Jr.",conceived
7,"Foreign Affairs is an American journal of international relations and U.S. foreign ~_~affairs published by the Council on Foreign Relations, a nonprofit, nonpartisan, membership organization and think tank specializing in U.S. foreign ~_~affairs and international affairs. Founded on 15 September 1922, the print ~_~journal is currently published every two months, while the website publishes articles daily and anthologies every other month. Foreign Affairs is considered one of the United States' most influential foreign affairs journals. Over its long history, it has published a number of seminal articles including George Kennan's 'X Article', published in 1947, and Samuel P. Huntington's 'The Clash of Civilizations', published in 1993. Leading academics, public officials, and members of the ~_~affairs community regularly appear contribute to the journal. Recent Foreign Affairs authors include Robert O. Keohane, Hillary Clinton, Donald H. Rumsfeld, Ashton Carter, Colin L. Powell, Francis Fukuyama, David Petraeus, Zbigniew Brzezinski, John J. Mearsheimer, Stanley McChrystal, Christopher R. Hill, and Joseph Nye.","policy,policy,magazine,policy"
8,"Power Rangers is an American entertainment and merchandising franchise built around a live-action superhero television ~_~franchise, based on the Japanese tokusatsu franchise Super Sentai. Produced first by Saban Entertainment, later by BVS Entertainment, and today by SCG Power Rangers and Hasbro, the television ~_~franchise takes much of its footage from the Super Sentai television franchise, ~_~produced by Toei Company. The first Power Rangers entry, Mighty Morphin Power Rangers, debuted on August 28, 1993, and helped launch the Fox Kids programming block of the 1990s, during which it catapulted into popular culture along with a line of action figures and other toys by Bandai.","series,series,developed"
9,"Greenland (Greenlandic: Kalaallit Nunaat, pronounced [kalaːɬːit nʉnaːt]; Danish: Grønland, pronounced [ˈkʁɶnˌlænˀ]) is a North American autonomous ~_~country of the Kingdom of Denmark. It is the largest country within the Kingdom and one of three countries which form the Kingdom, the others being Denmark proper and the Faroe Islands; the citizens of all three countries are citizens of Denmark. As Greenland is one of the Overseas Countries and Countries of the European Union, citizens of Greenland are also granted European Union citizenship. The capital and largest city of Greenland is Nuuk. Greenland lies between the Arctic and Atlantic oceans, east of the Canadian Arctic Archipelago. It is the world's largest island, as well as the northernmost area of the world – Kaffeklubben Island off the northern coast is the world's northernmost undisputed point of land, and Cape Morris Jesup on the mainland was thought to be so until the 1960s. Though a part of the continent of North America, Greenland has been politically and culturally associated with Europe (specifically Norway and Denmark, the colonial powers) for more than a millennium, beginning in 986. Greenland has been inhabited at intervals over at least the last 4,500 years by Arctic peoples whose forebears migrated there from what is now Canada. Norsemen settled the uninhabited southern part of Greenland beginning in the 10th century, having previously settled Iceland. Inuit arrived in the 13th century. Though under continuous influence of Norway and Norwegians, Greenland was not formally under the Norwegian crown until 1261. The Norse colonies disappeared in the late 15th century, after Norway was hit by the Black Death and entered a severe decline. In the early 17th century, Dano-Norwegian explorers reached Greenland again. When Denmark and Norway separated Greenland became Danish in 1814 and was fully integrated in the Danish state in 1953 under the Constitution of Denmark, which made the people in Greenland citizens of Denmark. In 1979, Denmark granted home rule to Greenland; in 2008, Greenlanders voted for the Self-Government Act, which transferred more power from the Danish government to the local Greenlandic government. Under the new structure, Greenland has gradually assumed responsibility for a number of governmental services and areas of competence. The Danish government retains control of citizenship, monetary policy, and foreign affairs, including defence. Most ~_~citizens of Greenland are Inuit. The population is concentrated mainly on the southwest coast, and the rest of the island is sparsely populated. Three-quarters of Greenland is covered by the only permanent ice sheet outside Antarctica. With a population of 56,583 (2022), Greenland is the least densely populated region in the world. 67% of its electricity production comes from renewable energy, mostly from hydropower.","territory,residents"
10,"Amazing Grace' is a Christian hymn published in 1779 with words written in 1772 by English Anglican clergyman and poet John Newton (1725–1807). It is an immensely popular ~_~hymn, particularly in the United States, where it is used for both religious and secular purposes. Newton wrote the words from personal experience; he grew up without any particular religious conviction, but his life's path was formed by a variety of twists and coincidences that were often put into motion by others' reactions to what they took as his recalcitrant insubordination. He was pressed into service with the Royal Navy, and after leaving the service, he became involved in the Atlantic slave trade. In 1748, a violent storm battered his vessel off the coast of County Donegal, Ireland, so severely that he called out to God for mercy. While this moment marked his spiritual conversion, he continued slave trading until 1754 or 1755, when he ended his seafaring altogether. Newton began studying Christian theology and later became an abolitionist. Ordained in the Church of England in 1764, Newton became the curate of Olney, Buckinghamshire, where he began to write hymns with poet William Cowper. 'Amazing Grace' was written to illustrate a sermon on New Year's Day of 1773. It is unknown if there was any music accompanying the verses; it may have been chanted by the congregation. It debuted in print in 1779 in Newton's and Cowper's Olney Hymns, but settled into relative obscurity in England. In the United States, 'Amazing Grace' became a popular ~_~hymn used by Baptist and Methodist preachers as part of their evangelizing, especially in the American South, during the Second Great Awakening of the early 19th century. It has been associated with more than 20 melodies. In 1835, American composer William Walker set it to the tune known as 'New Britain' in a shape note format; this is the version most frequently sung today.","song,song"
